,corpusid,paper-title,section-title,Sentence,Label,pdf-url
15,221971009,SPARTA: Efficient Open-Domain Question Answering via Sparse Transformer Matching Retrieval,conclusion,"also, current method only uses a bag-ofword features for the query.",Neutral,https://www.aclweb.org/anthology/2021.naacl-main.47.pdf
16,221971009,SPARTA: Efficient Open-Domain Question Answering via Sparse Transformer Matching Retrieval,conclusion,we expect further gain by incorporating word-order information.,Neutral,https://www.aclweb.org/anthology/2021.naacl-main.47.pdf
17,238857091,Zero-Shot Dense Retrieval with Momentum Adversarial Domain Invariant Representations,conclusion and future work,"in this paper, we present modir, a new representation learning method that improves the zero-shot generalization ability of dense retrieval models.",ReSolved,https://www.aclanthology.org/2022.findings-acl.316.pdf
18,238857091,Zero-Shot Dense Retrieval with Momentum Adversarial Domain Invariant Representations,conclusion and future work,we first show that dense retrieval models differ from classification models in that they emphasize locality properties in the representation space.,ReSolved,https://www.aclanthology.org/2022.findings-acl.316.pdf
19,238857091,Zero-Shot Dense Retrieval with Momentum Adversarial Domain Invariant Representations,conclusion and future work,then we present a momentum-based adversarial training method that robustly pushes text encoders to provide a more domain invariant representation space for dense retrieval.,ReSolved,https://www.aclanthology.org/2022.findings-acl.316.pdf
20,238857091,Zero-Shot Dense Retrieval with Momentum Adversarial Domain Invariant Representations,conclusion and future work,"our experiments demonstrate that, compared with ance, a recent sota dr model, modir's improvements are robust overall and significant on datasets where zerodr's evaluation is more accurate.",ReSolved,https://www.aclanthology.org/2022.findings-acl.316.pdf
21,202773198,Answering Complex Open-domain Questions Through Iterative Query Generation,conclusion,"in this paper, we presented golden (gold entity) retriever, an open-domain multi-hop question answering system for scalable multi-hop reasoning.",ReSolved,https://www.aclweb.org/anthology/D19-1261.pdf
22,202773198,Answering Complex Open-domain Questions Through Iterative Query Generation,conclusion,"through iterative reasoning and retrieval, golden retriever greatly improves the recall of gold supporting facts, thus providing the question answering model a much better set of context documents to produce an answer from, and demonstrates competitive performance to the state of the art.",ReSolved,https://www.aclweb.org/anthology/D19-1261.pdf
23,202773198,Answering Complex Open-domain Questions Through Iterative Query Generation,conclusion,"generating natural languages queries for each step of reasoning, golden retriever is also more interpretable to humans compared to previous neural retrieval approaches and affords better understanding and verification of model behavior.",ReSolved,https://www.aclweb.org/anthology/D19-1261.pdf
24,202773198,Answering Complex Open-domain Questions Through Iterative Query Generation,conclusion,we start from the wikipedia dump file containing the introductory paragraphs used in hotpotqa that yang et al.,Neutral,https://www.aclweb.org/anthology/D19-1261.pdf
25,202773198,Answering Complex Open-domain Questions Through Iterative Query Generation,conclusion,"(2018) provide, 10 and add the fields corresponding to wikipedia page titles and the introductory paragraphs (text) into the index.",Neutral,https://www.aclweb.org/anthology/D19-1261.pdf
26,221655732,Multi-Hop Fact Checking of Political Claims,conclusions,"in this paper, we studied the novel task of multi-hop reasoning for fact checking of real-world political claims, which encompasses both evidence retrieval and claim veracity prediction.",ReSolved,https://arxiv.org/pdf/2009.06401v3.pdf
27,221655732,Multi-Hop Fact Checking of Political Claims,conclusions,"we presented politihop, the first political fact checking dataset with annotated evidence sentences.",ReSolved,https://arxiv.org/pdf/2009.06401v3.pdf
28,221655732,Multi-Hop Fact Checking of Political Claims,conclusions,"we compared several models on politihop and found that the multi-hop architecture transformer-xh slightly outperforms bert in most of the settings, especially in terms of evidence retrieval, where bert is easily fooled by named entity overlaps between the claim and evidence sentences.",ReSolved,https://arxiv.org/pdf/2009.06401v3.pdf
29,221655732,Multi-Hop Fact Checking of Political Claims,conclusions,"the performance of transformer-xh is further improved when retrieving more than two evidence sentences and the number of hops larger than one, which corroborates the assumption of the multi-hop nature of the task.",ReSolved,https://arxiv.org/pdf/2009.06401v3.pdf
30,221655732,Multi-Hop Fact Checking of Political Claims,conclusions,"in the first setting, the models are trained for 4 epochs on liar-plus.",Neutral,https://arxiv.org/pdf/2009.06401v3.pdf
31,221655732,Multi-Hop Fact Checking of Political Claims,conclusions,"in the second setting, the models are trained for 8 epochs on politihop.",Neutral,https://arxiv.org/pdf/2009.06401v3.pdf
32,221655732,Multi-Hop Fact Checking of Political Claims,conclusions,"in the third setting, models are trained for 4 epochs on liar-plus, followed by 4 epochs on politihop.",Neutral,https://arxiv.org/pdf/2009.06401v3.pdf
33,221655732,Multi-Hop Fact Checking of Political Claims,conclusions,"in every setting, models are evaluated on the dev set and the model with the best label prediction macro-f1 score is saved, which enables early stopping.",Neutral,https://arxiv.org/pdf/2009.06401v3.pdf
34,221655732,Multi-Hop Fact Checking of Political Claims,conclusions,"for the fourth setting, we pre-train the model for 2 epochs on the fever dataset, followed by 4 epochs on liar-plus, the fine-tune on politihop for 4 epochs.",Neutral,https://arxiv.org/pdf/2009.06401v3.pdf
35,237490850,"Extract, Integrate, Compete: Towards Verification Style Reading Comprehension",conclusion,"in this paper, we present a novel verification style reading comprehension dataset named vgaokao from the chinese language tests of gaokao for chinese native speakers, which embed multiple advanced language understanding skills.",ReSolved,https://arxiv.org/pdf/2109.05149v1.pdf
36,237490850,"Extract, Integrate, Compete: Towards Verification Style Reading Comprehension",conclusion,"to address the challenges in vgaokao, we propose a new extract-integrate-compare approach for complementary evidence retrieval/integration and option discrimination.",ReSolved,https://arxiv.org/pdf/2109.05149v1.pdf
37,237490850,"Extract, Integrate, Compete: Towards Verification Style Reading Comprehension",conclusion,"experiments show that our approach outperforms several strong baselines, with additional merits of efficiency and explainability.",ReSolved,https://arxiv.org/pdf/2109.05149v1.pdf
38,237490850,"Extract, Integrate, Compete: Towards Verification Style Reading Comprehension",conclusion,we believe vgaokao is a challenging test-bed for natural language understanding in chinese and encourage further research in verification style reading comprehensionn.,Neutral,https://arxiv.org/pdf/2109.05149v1.pdf
39,211572557,TextBrewer: An Open-Source Knowledge Distillation Toolkit for Natural Language Processing,conclusion and future work,"in this paper, we present textbrewer, a flexible pytorch-based distillation toolkit for nlp research and applications.",ReSolved,https://www.aclweb.org/anthology/2020.acl-demos.2.pdf
40,211572557,TextBrewer: An Open-Source Knowledge Distillation Toolkit for Natural Language Processing,conclusion and future work,textbrewer provides rich customization options for users to compare different distillation methods and build their strategies.,ReSolved,https://www.aclweb.org/anthology/2020.acl-demos.2.pdf
41,211572557,TextBrewer: An Open-Source Knowledge Distillation Toolkit for Natural Language Processing,conclusion and future work,we have conducted a series of experiments.,Neutral,https://www.aclweb.org/anthology/2020.acl-demos.2.pdf
42,211572557,TextBrewer: An Open-Source Knowledge Distillation Toolkit for Natural Language Processing,conclusion and future work,the results show that the distilled models can achieve state-of-the-art results with simple settings.,ReSolved,https://www.aclweb.org/anthology/2020.acl-demos.2.pdf
43,211572557,TextBrewer: An Open-Source Knowledge Distillation Toolkit for Natural Language Processing,conclusion and future work,textbrewer also has its limitations.,Finding,https://www.aclweb.org/anthology/2020.acl-demos.2.pdf
44,211572557,TextBrewer: An Open-Source Knowledge Distillation Toolkit for Natural Language Processing,conclusion and future work,"for example, its usability in generation tasks such as machine translation has not been tested.",Finding,https://www.aclweb.org/anthology/2020.acl-demos.2.pdf
45,211572557,TextBrewer: An Open-Source Knowledge Distillation Toolkit for Natural Language Processing,conclusion and future work,we will keep adding more examples and tests to expand textbrewer's scope of application.,Finding,https://www.aclweb.org/anthology/2020.acl-demos.2.pdf
46,258078778,Datamator: An Intelligent Authoring Tool for Creating Datamations via Data Query Decomposition,"conclusion, limitations, and future work","in this paper, we presented the authoring tool datamator, developed for creating datamations.",ReSolved,https://export.arxiv.org/pdf/2304.03126v3.pdf
47,258078778,Datamator: An Intelligent Authoring Tool for Creating Datamations via Data Query Decomposition,"conclusion, limitations, and future work","to the best of our knowledge, it is the first tool that supports datamation design and generation.",ReSolved,https://export.arxiv.org/pdf/2304.03126v3.pdf
48,258078778,Datamator: An Intelligent Authoring Tool for Creating Datamations via Data Query Decomposition,"conclusion, limitations, and future work","given a dataset and a question, datamator can automatically decompose the question into a sequence of data analysis operators and generate a datamation based on unit visualization.",ReSolved,https://export.arxiv.org/pdf/2304.03126v3.pdf
49,258078778,Datamator: An Intelligent Authoring Tool for Creating Datamations via Data Query Decomposition,"conclusion, limitations, and future work",datamator also allows the user to modify and edit the generated results.,ReSolved,https://export.arxiv.org/pdf/2304.03126v3.pdf
50,258078778,Datamator: An Intelligent Authoring Tool for Creating Datamations via Data Query Decomposition,"conclusion, limitations, and future work",our user studies showed that datamator is highly rated for generating datamations to explain data analysis processes.,ReSolved,https://export.arxiv.org/pdf/2304.03126v3.pdf
51,258078778,Datamator: An Intelligent Authoring Tool for Creating Datamations via Data Query Decomposition,"conclusion, limitations, and future work",its editing function also showed to be effective in correcting the automatically generated results.,ReSolved,https://export.arxiv.org/pdf/2304.03126v3.pdf
52,256461186,Graph-Induced Transformers for Efficient Multi-Hop Question Answering,conclusions,"this work presented git, the graph-induced transformer that drastically improved mhqa models' sample efficiency and replaces graphs in the models while retaining their performance.",ReSolved,https://www.aclanthology.org/2022.emnlp-main.702.pdf
53,256461186,Graph-Induced Transformers for Efficient Multi-Hop Question Answering,conclusions,our empirical evidences demonstrated that models can enjoy the benefits of connective inductive bias of graphs without additional graph modules in place.,ReSolved,https://www.aclanthology.org/2022.emnlp-main.702.pdf
54,256461186,Graph-Induced Transformers for Efficient Multi-Hop Question Answering,conclusions,the design of git also allowed us to reuse the parameters of plm while incorporating the graph information.,ReSolved,https://www.aclanthology.org/2022.emnlp-main.702.pdf
55,256461186,Graph-Induced Transformers for Efficient Multi-Hop Question Answering,conclusions,future directions of our work may include using git in downstream nlp applications where the graph inductive bias is necessary and dataset is scarce.,Finding,https://www.aclanthology.org/2022.emnlp-main.702.pdf
56,225067629,AQUAMUSE: Automatically Generating Datasets for Query-Based Multi-Document Summarization,conclusion,"we have presented aquamuse, a scalable methodology for constructing new qmds datasets, along with in-depth analyses and baseline experiments to demonstrate properties of one such dataset instance.",ReSolved,https://arxiv.org/pdf/2010.12694v1.pdf
57,225067629,AQUAMUSE: Automatically Generating Datasets for Query-Based Multi-Document Summarization,conclusion,many parts of the approach are configurable providing researchers a rich sandbox for evaluating summarization models under different task conditions.,ReSolved,https://arxiv.org/pdf/2010.12694v1.pdf
58,225067629,AQUAMUSE: Automatically Generating Datasets for Query-Based Multi-Document Summarization,conclusion,"our methodology greatly reduces the cost of data collection by converting a predominantly generative human annotation task (e.g., reading documents and writing succinct summaries) to a discriminative human annotation task (e.g., deciding on sentence-document relevance).",ReSolved,https://arxiv.org/pdf/2010.12694v1.pdf
59,225067629,AQUAMUSE: Automatically Generating Datasets for Query-Based Multi-Document Summarization,conclusion,"while our present work do not propose new methods for query-based summarization, we ran baseline experiments on one specific instance of the aquamuse dataset using a few popular neural approaches re-adapted with query conditioning.",ReSolved,https://arxiv.org/pdf/2010.12694v1.pdf
60,225067629,AQUAMUSE: Automatically Generating Datasets for Query-Based Multi-Document Summarization,conclusion,our experiments demonstrates that there is still much headroom for existing state-of-the-art models and we hope aquamuse will spur further advancements query focused multi-document summarization algorithms.,Finding,https://arxiv.org/pdf/2010.12694v1.pdf
61,254877499,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,conclusions,chain-of-thought prompting has significantly improved prompting-based large language models' ability to perform multi-step reasoning.,ReSolved,https://export.arxiv.org/pdf/2212.10509v1.pdf
62,254877499,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,conclusions,"in this work, we leveraged this ability to improve retrieval, and in turn improve qa performance for complex knowledge-intensive open-domain tasks in a fewshot setting.",ReSolved,https://export.arxiv.org/pdf/2212.10509v1.pdf
63,254877499,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,conclusions,one-step question based retrieval is insufficient for such tasks as what information is needed for later steps is not evident from the question alone.,Neutral,https://export.arxiv.org/pdf/2212.10509v1.pdf
64,254877499,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,conclusions,"to address this, we introduced ircot, which uses interleaved chain-of-thought reason-model hpqa br hpqa 2wikimqa mq 2h   table 3 compares reader choice (direct vs cot prompting) for flan-t5-xxl and gpt3.",ReSolved,https://export.arxiv.org/pdf/2212.10509v1.pdf
65,254877499,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,conclusions,we find that flan-t5-xxl works better with direct prompting as a reader and gpt3 works better with cot prompting as a reader.,ReSolved,https://export.arxiv.org/pdf/2212.10509v1.pdf
66,254877499,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,conclusions,"therefore, for the experiments in the main paper, we go with this choice.",Neutral,https://export.arxiv.org/pdf/2212.10509v1.pdf
67,254877499,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,conclusions,note though that the trends discussed in § 5 (ircot qa > oner qa > zeror qa) hold regardless of the choice of the reader.,Neutral,https://export.arxiv.org/pdf/2212.10509v1.pdf
68,247793456,LinkBERT: Pretraining Language Models with Document Links,conclusion,"we presented linkbert, a new language model (lm) pretraining method that incorporates document link knowledge such as hyperlinks.",ReSolved,https://www.aclanthology.org/2022.acl-long.551.pdf
69,247793456,LinkBERT: Pretraining Language Models with Document Links,conclusion,"in both the general domain (pretrained on wikipedia with hyperlinks) and biomedical domain (pretrained on pubmed with citation links), linkbert outperforms previous bert models across a wide range of downstream tasks.",ReSolved,https://www.aclanthology.org/2022.acl-long.551.pdf
70,247793456,LinkBERT: Pretraining Language Models with Document Links,conclusion,"the gains are notably large for multi-hop reasoning, multi-document understanding and few-shot question answering, suggesting that linkbert effectively internalizes salient knowledge through document links.",ReSolved,https://www.aclanthology.org/2022.acl-long.551.pdf
71,247793456,LinkBERT: Pretraining Language Models with Document Links,conclusion,our results suggest that linkbert can be a strong pretrained lm to be applied to various knowledge-intensive tasks.,ReSolved,https://www.aclanthology.org/2022.acl-long.551.pdf
72,245218982,"QuALITY: Question Answering with Long Input Texts, Yes!",conclusion,we introduce the long-document qa dataset quality.,ReSolved,https://www.aclanthology.org/2022.naacl-main.391.pdf
73,245218982,"QuALITY: Question Answering with Long Input Texts, Yes!",conclusion,"this dataset was crowdsourced and validated by humans to ensure that the questions are answerable, unambiguous, and challenging.",ReSolved,https://www.aclanthology.org/2022.naacl-main.391.pdf
74,245218982,"QuALITY: Question Answering with Long Input Texts, Yes!",conclusion,"the quality-hard subset, comprising half the dataset, consists of questions that are unanswerable by annotators working under tight time constraints, helping ensure that skimming and simple search do not yield high performance.",ReSolved,https://www.aclanthology.org/2022.naacl-main.391.pdf
75,245218995,Models in the Loop: Aiding Crowdworkers with Generative Annotation Assistants,discussion and conclusion,"in this work, we introduce generative annotation assistants (gaas) and investigate their potential to aid crowdworkers with creating more effective training data more efficiently.",ReSolved,https://www.aclanthology.org/2022.naacl-main.275.pdf
76,245218995,Models in the Loop: Aiding Crowdworkers with Generative Annotation Assistants,discussion and conclusion,"we perform a thorough analysis of how gaas can be used for improving qa dataset annotation in different settings, including different generative model training data, sampling strategies, and whether to also provide annotators with answer suggestions.",ReSolved,https://www.aclanthology.org/2022.naacl-main.275.pdf
77,245218995,Models in the Loop: Aiding Crowdworkers with Generative Annotation Assistants,discussion and conclusion,we find that gaas are beneficial in both the standard and adversarial data collection settings.,ReSolved,https://www.aclanthology.org/2022.naacl-main.275.pdf
78,245218995,Models in the Loop: Aiding Crowdworkers with Generative Annotation Assistants,discussion and conclusion,"in the standard data collection setting, and under the assumption of no access to adversarially-collected data, gaas with prompts sampled based on likelihood provide annotation speed-ups, while prompts sampled by adversarial performance or uncertainty metrics provide benefits to both the model error rates on the collected data as well as subsequent downstream qa performance.",Neutral,https://www.aclanthology.org/2022.naacl-main.275.pdf
79,245218995,Models in the Loop: Aiding Crowdworkers with Generative Annotation Assistants,discussion and conclusion,"we find that while gaas are effective for improving standard data collection, we still do not approach the performance obtained when using adversarial data collection.",Finding,https://www.aclanthology.org/2022.naacl-main.275.pdf
80,244954717,Does Structure Matter? Leveraging Data-to-Text Generation for Answering Complex Information Needs,conclusion,"traditionally, ir approaches solving complex information needs focused on leveraging multi-turn interactions to provide optimal rankings of candidate documents at each turn.",Neutral,https://arxiv.org/pdf/2112.04344v1.pdf
81,244954717,Does Structure Matter? Leveraging Data-to-Text Generation for Answering Complex Information Needs,conclusion,in this paper we have suggested alternative retrieval models that do not rely on the interactive updating of queries and document rankings as answers.,ReSolved,https://arxiv.org/pdf/2112.04344v1.pdf
82,244954717,Does Structure Matter? Leveraging Data-to-Text Generation for Answering Complex Information Needs,conclusion,"we suggest one such alternative approach can be found using datato-text generation models to generate in a single-turn, a natural language and structured answer.",ReSolved,https://arxiv.org/pdf/2112.04344v1.pdf
83,244954717,Does Structure Matter? Leveraging Data-to-Text Generation for Answering Complex Information Needs,conclusion,experimental evaluation of a planning-based dtt model using the trec car dataset shows the potential of our intuition.,Finding,https://arxiv.org/pdf/2112.04344v1.pdf
84,244954717,Does Structure Matter? Leveraging Data-to-Text Generation for Answering Complex Information Needs,conclusion,we believe that our work opens up novel areas of investigation including answer generation and explanation in conversational systems for ir.,Finding,https://arxiv.org/pdf/2112.04344v1.pdf
85,237737294,Dual-Channel Reasoning Model for Complex Question Answering,conclusion and future work,"in this paper, we propose a dual-channel reasoning architecture for complex question answering.",ReSolved,
86,237737294,Dual-Channel Reasoning Model for Complex Question Answering,conclusion and future work,e dual-channel reasoning architecture is applied to the feature interaction framework and graph-based models to verify its general applicability.,ReSolved,
87,237737294,Dual-Channel Reasoning Model for Complex Question Answering,conclusion and future work,"in the experiments, we show that our models   complexity significantly and consistently outperform the baseline model, especially in supporting fact prediction tasks.",ReSolved,
88,237737294,Dual-Channel Reasoning Model for Complex Question Answering,conclusion and future work,"after more detailed experimental analysis, it is proved that the dual-channel reasoning structure has stronger step-by-step reasoning ability than the single-channel reasoning structure.",ReSolved,
89,237737294,Dual-Channel Reasoning Model for Complex Question Answering,conclusion and future work,"in the future, we believe that the following issue will be worth studying.",Finding,
90,237737294,Dual-Channel Reasoning Model for Complex Question Answering,conclusion and future work,"for the dual-channel reasoning architecture, the interaction strategy between the two channels, such as the soft parameter sharing of the homogeneous neural network components of the two channels, is worthy of further study.",Finding,
91,253370208,Teaching Broad Reasoning Skills for Multi-Step QA by Generating Hard Contexts,conclusions,"despite large lms' impressive reading abilities and the availability of large scale multi-step qa datasets requiring a rich set of reasoning skills, lmbased qa models do not reliably learn to use such skills for answering complex questions.",Neutral,https://www.aclanthology.org/2022.emnlp-main.439.pdf
92,253370208,Teaching Broad Reasoning Skills for Multi-Step QA by Generating Hard Contexts,conclusions,"in this work, we show that the greater control that synthetic contexts offer can be leveraged to create a teaching dataset where models can learn a broad range of reasoning skills in a reliable manner, especially for more complex questions.",ReSolved,https://www.aclanthology.org/2022.emnlp-main.439.pdf
93,254408864,A Comprehensive Survey on Multi-hop Machine Reading Comprehension Approaches,conclusion,"in this study, we focused on the multi-hop mrc approaches.",ReSolved,https://export.arxiv.org/pdf/2212.04072v1.pdf
94,254408864,A Comprehensive Survey on Multi-hop Machine Reading Comprehension Approaches,conclusion,"in this regard, after presenting the multi-hop mrc problem definition, the multi-hop mrc techniques had been explained based on 31 studies from 2018 to 2022.",Neutral,https://export.arxiv.org/pdf/2212.04072v1.pdf
95,254408864,A Comprehensive Survey on Multi-hop Machine Reading Comprehension Approaches,conclusion,"in addition to categorize the approaches based on the main technique, they also were reviewed in detail including the architecture, superiority, and motivations.",Neutral,https://export.arxiv.org/pdf/2212.04072v1.pdf
96,254408864,A Comprehensive Survey on Multi-hop Machine Reading Comprehension Approaches,conclusion,"in the following, a fine-grain comprehension of the approaches and techniques was prepared, and finally, some open issues in this field were discussed.",Neutral,https://export.arxiv.org/pdf/2212.04072v1.pdf
97,252819460,CausalQA: A Benchmark for Causal Question Answering,conclusion,"we constructed webis-causalqa-22, the first large benchmark dataset of 1.1 million causal questionanswer pairs, which serves to advance research in causal question answering.",ReSolved,
98,252819460,CausalQA: A Benchmark for Causal Question Answering,conclusion,"to ensure diversity of questions, we extracted them using seven hand-crafted high-precision lexical rules to capture as many subtypes of causal questions as possible.",ReSolved,
99,252819460,CausalQA: A Benchmark for Causal Question Answering,conclusion,"these rules were derived from a new typology of causal questions, which in turn is based on relevant related work on question typologies.",ReSolved,
100,252819460,CausalQA: A Benchmark for Causal Question Answering,conclusion,"a manual analysis of a sample of questions was used to characterize causal questions in terms of two dimensions: (1) their semantic properties, i.e., according to which element of the causal structure the question is asked (antecedent, consequent, or the causal chain) and (2) their pragmatic interpretation, i.e., the underlying intention or assumed information need of the questioner (e.g., prevention of medical problems).",ReSolved,
101,252819460,CausalQA: A Benchmark for Causal Question Answering,conclusion,"furthermore, a subsequent analysis of the causal questions contained in a search engine log showed that a significant proportion of 5% of question queries are causal.",ReSolved,
102,252819460,CausalQA: A Benchmark for Causal Question Answering,conclusion,"finally, we evaluated the state-of-the-art model unifiedqa on our corpus as an initial baseline for causal question answering.",ReSolved,
103,204852129,Relation Module for Non-answerable Prediction on Reading Comprehension,conclusion,in this work we propose a new relation module that can be applied on any mrc reader and help increase the prediction accuracy on non-answerable questions.,ReSolved,https://arxiv.org/pdf/1910.10843v1.pdf
104,204852129,Relation Module for Non-answerable Prediction on Reading Comprehension,conclusion,we extract high level semantics from multi-head self-attentive pooling.,ReSolved,https://arxiv.org/pdf/1910.10843v1.pdf
105,204852129,Relation Module for Non-answerable Prediction on Reading Comprehension,conclusion,the semantic object pairs are fed into the relation network which makes a guided decision as to whether a question is answerable.,ReSolved,https://arxiv.org/pdf/1910.10843v1.pdf
106,204852129,Relation Module for Non-answerable Prediction on Reading Comprehension,conclusion,"in addition we augment the context vector with plausible answers, allowing us to extract objects focused on the proposed answer span, and differentiate from other objects that are not as relevant in the context.",ReSolved,https://arxiv.org/pdf/1910.10843v1.pdf
107,204852129,Relation Module for Non-answerable Prediction on Reading Comprehension,conclusion,our results on the squad 2.0 dataset using the relation module on both bidaf and bert models show improvements from the relation module.,ReSolved,https://arxiv.org/pdf/1910.10843v1.pdf
108,204852129,Relation Module for Non-answerable Prediction on Reading Comprehension,conclusion,these results prove the effectiveness of our relation module.,ReSolved,https://arxiv.org/pdf/1910.10843v1.pdf
109,119104197,Transient dynamics of perturbations in astrophysical disks,conclusion,"this review is devoted to the transient dynamics of perturbations, which is of special interest in theory of astrophysical disks, in particular accretion disks.",ReSolved,https://arxiv.org/pdf/1512.08897v1.pdf
110,119104197,Transient dynamics of perturbations in astrophysical disks,conclusion,exponentially growing perturbations do not exist in a homogeneous inviscid keplerian flow provided that there are no conditions for the magneto-rotational instability.,Neutral,https://arxiv.org/pdf/1512.08897v1.pdf
111,119104197,Transient dynamics of perturbations in astrophysical disks,conclusion,"nevertheless, observations suggest that also in this case angular momentum should be somehow transported outwards.",Neutral,https://arxiv.org/pdf/1512.08897v1.pdf
112,119104197,Transient dynamics of perturbations in astrophysical disks,conclusion,"at least, this implies that there should be some mechanism of energy transfer from the regular rotational motion to hydrodynamical perturbations.",Neutral,https://arxiv.org/pdf/1512.08897v1.pdf
113,119104197,Transient dynamics of perturbations in astrophysical disks,conclusion,in spectrally stable flows the transient growth mechanism is responsible for this.,Neutral,https://arxiv.org/pdf/1512.08897v1.pdf
114,119104197,Transient dynamics of perturbations in astrophysical disks,conclusion,here it was introduced by a simple example of two-dimensional vortices and it was discussed that the reason for their growth is the shortening of the length of leading spirals by the differential rotation of the flow,Neutral,https://arxiv.org/pdf/1512.08897v1.pdf
115,119104197,Transient dynamics of perturbations in astrophysical disks,conclusion,"nonwithstanding their seeming simplicity, those (quasi-)columnar structures exhibit the strongest ability to extract energy from the spectrally stable differentially rotating flows (see [54] about it).",ReSolved,https://arxiv.org/pdf/1512.08897v1.pdf
116,119104197,Transient dynamics of perturbations in astrophysical disks,conclusion,"physically, the energy growth of vortices takes place due to their own angular momentum conservation, which in the local limit is expressed by the conservation of their potential vorticity and the existence of the invariant i (see section 2.2).",Neutral,https://arxiv.org/pdf/1512.08897v1.pdf
